"Name","CV Average Validation set accuracy","Test set accuracy","Number of model parameters","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","class_weights","dropout","encoding","epochs","layer_size","learning_rate","num_hidden_layers","optimizer","wandb_name","dataset","encoding_into_bits","encoding_into_bits.exfiltration_encoding.values","exfiltration_encoding","n_defense_lsbs","n_ecc","type","CV Average Training set F1 score","CV Average Training set ROC AUC","CV Average Training set accuracy","CV Average Training set loss","CV Average Training set precision","CV Average Training set recall","CV Average Validation Set Loss","CV Average Validation set F1 score","CV Average Validation set ROC AUC","CV Average Validation set precision","CV Average Validation set recall","CV fold","Class weights","Epoch Training set F1 score","Epoch Training set ROC AUC score","Epoch Training set accuracy","Epoch Training set loss","Epoch Training set precision","Epoch Training set recall","Epoch Validation Set Loss","Epoch Validation set F1 score","Epoch Validation set ROC AUC score","Epoch Validation set accuracy","Epoch Validation set precision","Epoch Validation set recall","Epoch_ Validation Set Loss","Epoch_train_loss","Fold Train set ROC AUC score","Fold Training set F1 score","Fold Training set accuracy","Fold Training set loss","Fold Training set precision","Fold Training set recall","Fold Validation Set Loss","Fold Validation set F1 score","Fold Validation set ROC AUC score","Fold Validation set accuracy","Fold Validation set precision","Fold Validation set recall","Model size in bits","Test Class <=50K accuracy","Test Class >50K accuracy","Test FN","Test FP","Test TN","Test TP","Test set Confusion Matrix","Test set Confusion Matrix Plot","Test set F1 score","Test set ROC AUC score","Test set precision","Test set recall","Train Class <=50K accuracy","Train Class >50K accuracy","Train FN","Train FP","Train TN","Train TP","Training set Confusion Matrix","Training set F1 score","Training set accuracy","Training set loss","Training set precision","Training set recall","Val Class <=50K accuracy","Val Class >50K accuracy","Val FN","Val FP","Val TN","Val TP","Validation set Confusion Matrix","Validation set F1 score","Validation set accuracy","Validation set loss","Validation set precision","epoch","Validation set recall","Aggregated Comparison","Attack Test Class <=50K accuracy","Attack Test Class >50K accuracy","Attack Test set Confusion Matrix Plot","Attack Test set F1 score","Attack Test set ROC AUC score","Attack Test set accuracy","Attack Test set precision","Attack Test set recall","Benign Model Test Class <=50K accuracy","Benign Model Test Class >50K accuracy","Benign Model Test set Confusion Matrix Plot","Benign Model Test set F1 score","Benign Model Test set ROC AUC score","Benign Model Test set accuracy","Benign Model Test set precision","Benign Model Test set recall","Benign Model Train Class <=50K accuracy","Benign Model Train Class >50K accuracy","Benign Model Train set Confusion Matrix Plot","Benign Model Train set F1 score","Benign Model Train set ROC AUC score","Benign Model Train set accuracy","Benign Model Train set precision","Benign Model Train set recall","Benign Model Validation Class <=50K accuracy","Benign Model Validation Class >50K accuracy","Benign Model Validation set Confusion Matrix Plot","Benign Model Validation set F1 score","Benign Model Validation set ROC AUC score","Benign Model Validation set accuracy","Benign Model Validation set precision","Benign Model Validation set recall","Data Similarity: Defense","Data similarity: Attack","Defended Test Class <=50K accuracy","Defended Test Class >50K accuracy","Defended Test set Confusion Matrix Plot","Defended Test set F1 score","Defended Test set ROC AUC score","Defended Test set accuracy","Defended Test set precision","Defended Test set recall","LSB Attack Time","Maximum number of rows that can be exfiltrated (capacity)","Number of bits per data sample","Number of bits to be hidden","Number of defense LSBs","Number of parameters used for hiding","Number of parameters used for information hiding","Number of rows hidden","Number of rows in the dataset","Proportion of parameters used for hiding in %","Proportion of the dataset hidden in %","Proportion of the dataset stolen in %","Reconstruction","Similarity after defense","Similarity of exfiltrated data to original data:","Similarity without defense"
"1hl_2s_0d_0.001lr_512bs_adam","0.8652751401181444","0.848937583001328","3527","sktpxddf","finished","-","siposova-andrea","","2023-03-17T23:13:15.000Z","98","j7qa6e6s","512","not_applied","0","one_hot","150","2","0.001","1","adam","","","","","","","","","0.7083801918095762","0.7976940773842887","0.869191676704921","0.28887642119445056","0.7647395507929391","0.6597692227297424","0.2965641234929745","0.701739750947142","0.7948413828274808","0.752368357900193","0.6587203189438753","1","[1,1]","0.7101300479123887","0.7988269640380424","0.8699324324324325","0.2893681523262286","0.766248153618907","0.6616709183673469","0.2960948118796715","0.6809037311027857","0.7828557260879273","0.8552806441525954","0.7255357870983083","0.6428104221745051","0.3122721772927504","","0.7984279743746895","0.7090769362138161","0.8692080310184652","0.28543877981457055","0.7635159985288709","0.6618842659014825","0.2960948118796715","0.7185791248763326","0.80639651008588","0.871439956103679","0.7622602495887478","0.6807207190280493","112864","0.9152288732394366","0.6454054054054054","1312","963","10397","2388","","[[10397,963],[1312,2388]]","0.6773507303928521","0.780317139322421","0.7126230975828111","0.6454054054054054","0.9749190938511328","0.10170572293958234","5635","496","19280","638","","","","","","","0.9811931243680484","0.10459183673469388","1404","93","4852","164","","","","","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1hl_1s_0d_0.001lr_512bs_adam","0.8650385615216939","0.8482735723771581","1764","sktpxddf","finished","-","siposova-andrea","","2023-03-17T22:26:47.000Z","110","j7qa6e6s","512","not_applied","0","one_hot","150","1","0.001","1","adam","","","","","","","","","0.703592810494474","0.793781198371092","0.8679939210199489","0.2929722732773014","0.765968239013526","0.6506186265156468","0.29884600708117853","0.6991104832937121","0.7923642678050362","0.7552269222472484","0.6519605019948103","1","[1,1]","0.7047995871322896","0.7948293850307113","0.8682432432432432","0.29296008482867597","0.7652222637280538","0.6532206632653061","0.3002014114306523","0.6784886216975311","0.7807210811359095","0.8550383866218471","0.7286801150874378","0.636973807889129","0.3112620023580698","","0.7933541702457286","0.7025212976508045","0.8672885715382548","0.2900583931044036","0.7632759910246821","0.6507253307827195","0.3002014114306523","0.7133178508508702","0.8019760164885004","0.8704470631270903","0.7642497671583127","0.669660254194864","56448","0.918838028169014","0.6316216216216216","1363","922","10438","2337","","[[10438,922],[1363,2337]]","0.6716482253197299","0.7752298248953179","0.7170911322491562","0.6316216216216216","0.97582928802589","0.10058982942770604","5642","478","19298","631","","","","","","","0.9801820020222448","0.10267857142857142","1407","98","4847","161","","","","","","108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1hl_3s_0d_0.001lr_512bs_adam","0.8668364469754646","0.848207171314741","5290","sktpxddf","finished","-","siposova-andrea","","2023-03-17T23:59:14.000Z","96","j7qa6e6s","512","not_applied","0","one_hot","150","3","0.001","1","adam","","","","","","","","","0.7128255346776955","0.8004013006309556","0.8712032814409586","0.2861487628198137","0.7696585847557149","0.6638183779609406","0.2951506800376452","0.704432104891304","0.7960998858565771","0.7576547267537893","0.659402207670461","1","[1,1]","0.7129883481836875","0.8003865229344165","0.8713912776412777","0.28456317910961076","0.7705555555555555","0.6634247448979592","0.2951143349592502","0.6831055250691302","0.783912624859295","0.8564243439910361","0.7294561723097749","0.6438061286977241","0.31195049102489764","","0.8021608998303718","0.7150294443970299","0.8718184959115514","0.282344724909932","0.7694709772226305","0.667782560178543","0.2951143349592502","0.720521168877892","0.8082813142867032","0.8719821279264214","0.7611253815312907","0.6851750977802389","169280","0.914612676056338","0.6443243243243243","1316","970","10390","2384","","[[10390,970],[1316,2384]]","0.6759285511766373","0.7794685001903312","0.7107930828861061","0.6443243243243243","0.9752224919093851","0.10521281683405068","5613","490","19286","660","","","","","","","0.9805864509605662","0.10459183673469388","1404","96","4849","164","","","","","","72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1hl_4s_0d_0.001lr_512bs_adam","0.8596821652006236","0.846879150066401","7053","sktpxddf","finished","-","siposova-andrea","","2023-03-18T00:50:36.000Z","83","j7qa6e6s","512","not_applied","0","one_hot","150","4","0.001","1","adam","","","","","","","","","0.6938202953951385","0.7880627199079963","0.8634101990196512","0.29574346472235286","0.7537744653753083","0.642711200333792","0.30192186328080983","0.688740391297679","0.7865008566278497","0.7403636928447762","0.6451340234264186","1","[1,1]","0.6886800586257436","0.7846967670563371","0.8613713144963145","0.30010006825129193","0.7497653463487892","0.6367984693877551","0.29360304887478167","0.6722813848843745","0.7772929955536182","0.8515828577756932","0.7183044726736403","0.6335284420722037","0.31505897641181946","","0.7929903513323397","0.7013388259526262","0.866405620177358","0.29188651255532805","0.7596207473508088","0.6513629842180775","0.29360304887478167","0.7067221457071047","0.79909125418139","0.8665408131270903","0.7505645270137978","0.668916203439899","225696","0.9141725352112676","0.6402702702702703","1331","975","10385","2369","","[[10385,975],[1331,2369]]","0.6726291879613856","0.777221402740769","0.708433014354067","0.6402702702702703","0.9774979773462784","0.09676390881555874","5666","445","19331","607","","","","","","","0.9811931243680484","0.10395408163265306","1405","93","4852","163","","","","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2hl_1s_0d_0.001lr_512bs_adam","0.8619043031593568","0.8466135458167331","3486","sktpxddf","finished","-","siposova-andrea","","2023-03-17T22:30:55.000Z","77","j7qa6e6s","512","not_applied","0","one_hot","150","1","0.001","2","adam","","","","","","","","","0.7002863038667747","0.7926932714142568","0.865598407881461","0.29077188588824926","0.75623878878245","0.6520532094951802","0.30113056806417615","0.6936088487266382","0.7896034870713735","0.7453042448806448","0.6500300174434208","1","[1,1]","0.6977541573804217","0.7909829890694141","0.8646345208845209","0.2927141844057569","0.7545420837968113","0.6489158163265306","0.28966383521373457","0.6798406742568606","0.7816351323097025","0.8550966098603294","0.727472694074666","0.6397442495115533","0.31488940119743347","","0.7946796202595807","0.7033963555479511","0.8669046796422127","0.2895163493413551","0.7590472673559823","0.6553483181890642","0.28966383521373457","0.7094097378516534","0.8023464151087717","0.8659398515886287","0.7436861625710042","0.6794222547754708","111552","0.9128521126760564","0.6432432432432432","1320","990","10370","2380","","[[10370,990],[1320,2380]]","0.6732673267326733","0.7780476779596499","0.7062314540059347","0.6432432432432432","0.9762338187702264","0.09979276263350868","5647","470","19306","626","","","","","","","0.9809908998988878","0.10650510204081633","1401","94","4851","167","","","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1hl_10s_0d_0.001lr_512bs_adam","0.8595988930468318","0.846547144754316","17631","sktpxddf","finished","-","siposova-andrea","","2023-03-18T03:07:47.000Z","93","j7qa6e6s","512","not_applied","0","one_hot","150","10","0.001","1","adam","","","","","","","","","0.6964776255946702","0.7897755270659451","0.864523485223416","0.29433220864511","0.7561288667411603","0.6455805848762269","0.30278273041431725","0.6881162341739653","0.7860711490455626","0.7408132161786913","0.643990963368916","1","[1,1]","0.6880290205562274","0.7840726855062413","0.8613329238329238","0.30128679848184775","0.7506596306068601","0.6350446428571429","0.2938495943179497","0.6694968351510234","0.7755392127132746","0.8503565053679384","0.7158929099712801","0.6306393276652833","0.31609389644402724","","0.7968492694457213","0.7065858033655078","0.8681331337095474","0.2855495053763483","0.7611336032388664","0.659333652160051","0.2938495943179497","0.7124867152889629","0.8043484926250323","0.8674683841973244","0.7463254256633204","0.6824546999344057","564192","0.9115316901408452","0.6470270270270271","1306","1005","10355","2394","","[[10355,1005],[1306,2394]]","0.6744611917171431","0.779279358583936","0.70432480141218","0.6470270270270271","0.9781047734627832","0.09899569583931134","5652","433","19343","621","","","","","","","0.9822042467138524","0.09948979591836736","1412","88","4857","156","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2hl_2s_0d_0.001lr_512bs_adam","0.8601098236499715","0.8464807436918991","10333","sktpxddf","finished","-","siposova-andrea","","2023-03-17T23:17:28.000Z","66","j7qa6e6s","512","not_applied","0","one_hot","150","2","0.001","2","adam","","","","","","","","","0.6983597386338564","0.7916598663253683","0.8646079364296714","0.2920669289196239","0.753256489844826","0.6509370465665942","0.3018036608512585","0.6947007409050789","0.7924130205083149","0.7328314397142501","0.6617012244218342","1","[1,1]","0.6888450655920432","0.785493702942342","0.8606802825552825","0.3001805818548389","0.7451307735114079","0.6404655612244898","0.2926320296067458","0.6750344886911583","0.778889322119855","0.8528523686679175","0.7222281659204077","0.6356344238914301","0.3175126635111295","","0.8005080623693159","0.711792252022137","0.8700525931897578","0.28265171834066805","0.7638888888888888","0.6663478399489877","0.2926320296067458","0.7163631164669769","0.809089841610642","0.8672005643812709","0.7380025596864953","0.6969576101460146","330656","0.908362676056338","0.6564864864864864","1271","1041","10319","2429","","[[10319,1041],[1271,2429]]","0.6775453277545327","0.7824245812714122","0.7","0.6564864864864864","0.9774979773462784","0.10106806950422444","5639","445","19331","634","","","","","","","0.9777553083923156","0.11096938775510204","1394","110","4835","174","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2hl_3s_0d_0.001lr_512bs_adam","0.8596156501515895","0.8464143426294821","20542","sktpxddf","finished","-","siposova-andrea","","2023-03-18T00:03:16.000Z","66","j7qa6e6s","512","not_applied","0","one_hot","150","3","0.001","2","adam","","","","","","","","","0.7018370427419256","0.7942244276252612","0.8657749616037362","0.29082863628864286","0.7543551157281296","0.6561976416582894","0.3067460766205421","0.6964473704182554","0.7949050659384291","0.7269757582344303","0.6699706855043345","1","[1,1]","0.6871249785702039","0.7844728303942937","0.8598740786240786","0.3009045544792624","0.743047830923248","0.639030612244898","0.30216728494717526","0.6737254321198475","0.7782272879368202","0.8522758364602877","0.7204661900994596","0.6349376680834465","0.3170573734320127","","0.8047110903718976","0.7174447174447175","0.8719720526699681","0.2804268320985869","0.7656419529837252","0.6749561613263192","0.30216728494717526","0.7135794180510355","0.8063843324542976","0.8666910535117057","0.7400390777953472","0.6898965928995106","657344","0.908274647887324","0.6564864864864864","1271","1042","10318","2429","","[[10318,1042],[1271,2429]]","0.6774508436759168","0.7823805671869052","0.6997983290118122","0.6564864864864864","0.9778519417475728","0.10218396301610076","5632","438","19338","641","","","","","","","0.9765419615773508","0.11479591836734694","1388","116","4829","180","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1hl_5s_0d_0.001lr_512bs_adam","0.8583799862742566","0.8456175298804781","8816","sktpxddf","finished","-","siposova-andrea","","2023-03-18T01:53:29.000Z","86","j7qa6e6s","512","not_applied","0","one_hot","150","5","0.001","1","adam","","","","","","","","","0.6912262377790941","0.7865286355731416","0.8622047740447198","0.2970807167829252","0.750642619238888","0.6405431125702314","0.3038407376179329","0.6858502800739732","0.7848467940854107","0.7368985075850817","0.6428232809262143","1","[1,1]","0.687090093199862","0.7836098486724787","0.8607954545454546","0.3023415272142373","0.7488713318284425","0.6347257653061225","0.29572308980501616","0.6628748109820943","0.7704825087926584","0.8485536207525537","0.7151035240266217","0.6194603169506385","0.31589369361217207","","0.7913357968888084","0.698652476182302","0.8652155552996276","0.29022204408458635","0.7567869096318334","0.648812370476646","0.29572308980501616","0.7063943825970959","0.800087332814629","0.8652213106187291","0.7433973741266624","0.6743002098694661","282112","0.9117957746478872","0.6424324324324324","1323","1002","10358","2377","","[[10358,1002],[1323,2377]]","0.6715637801949428","0.7771141035401598","0.7034625628884286","0.6424324324324324","0.9782059061488672","0.09724214889207716","5663","431","19345","610","","","","","","","0.9817997977755308","0.10076530612244898","1410","90","4855","158","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5hl_1s_0d_0.001lr_512bs_adam","0.8594120723946581","0.8446879150066401","8652","sktpxddf","finished","-","siposova-andrea","","2023-03-17T22:42:41.000Z","73","j7qa6e6s","512","not_applied","0","one_hot","150","1","0.001","5","adam","","","","","","","","","0.7006373422339265","0.7926471443025074","0.8659745927586103","0.2957559698352627","0.7582682568857919","0.6511923468574421","0.3056884096218989","0.6904902849755242","0.7884001622763955","0.7365438896750887","0.6512006485524594","1","[1,1]","0.6915681102697184","0.7881533377914273","0.8608338452088452","0.3059103523983675","0.7414705345739828","0.6479591836734694","0.2925581679894374","0.6774647309603854","0.7817095219547026","0.8523096303679384","0.715370101407678","0.6449931210150298","0.31817687016267043","","0.7972490724425376","0.7103030303030303","0.8715497715843219","0.2840705058153938","0.7773356073526625","0.653913597959509","0.2925581679894374","0.7057123360387199","0.7973454486294836","0.8667498432274248","0.7551894092718766","0.6632260944798015","276864","0.9152288732394366","0.6281081081081081","1376","963","10397","2324","","[[10397,963],[1376,2324]]","0.6652354372405896","0.7716684906737724","0.7070276848189839","0.6281081081081081","0.977245145631068","0.10218396301610076","5632","450","19326","641","","","","","","","0.97896865520728","0.11096938775510204","1394","104","4841","174","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2hl_4s_0d_0.001lr_512bs_adam","0.8602477396142063","0.8443559096945551","34113","sktpxddf","finished","-","siposova-andrea","","2023-03-18T00:54:53.000Z","80","j7qa6e6s","512","not_applied","0","one_hot","150","4","0.001","2","adam","","","","","","","","","0.7055060103487534","0.7964187781632505","0.8674871262395015","0.2876159790099836","0.7586927512615882","0.6593221841582162","0.3063022494316101","0.6991091555647649","0.7971380431800311","0.7265950856997525","0.6753036588904646","1","[1,1]","0.6889098550476027","0.78548983306915","0.8607570638820639","0.3005648979953691","0.7454984221273436","0.6403061224489796","0.3011364134458395","0.6734618616164633","0.7778702968883464","0.8522420425526371","0.7207632027744846","0.6339608233527616","0.3182148337364197","","0.8068361705622339","0.72089476359939","0.8735460094437406","0.2748519985699186","0.769397721106891","0.6781444285031085","0.3011364134458395","0.7152545844290222","0.8068639016712391","0.8680758779264214","0.7452017217410201","0.688706735761422","1091616","0.9077464788732394","0.6497297297297298","1296","1048","10312","2404","","[[10312,1048],[1296,2404]]","0.6722595078299776","0.7787381043014846","0.6964078794901506","0.6497297297297298","0.9780542071197412","0.106328710345927","5606","434","19342","667","","","","","","","0.9759352881698684","0.11989795918367346","1380","119","4826","188","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2hl_10s_0d_0.001lr_512bs_adam","0.8617374189654313","0.8438247011952191","186141","sktpxddf","finished","-","siposova-andrea","","2023-03-18T03:13:13.000Z","102","j7qa6e6s","512","not_applied","0","one_hot","150","10","0.001","2","adam","","","","","","","","","0.7165426696555364","0.8035451571849436","0.872209011593441","0.27616545885216953","0.7686846650107112","0.6710870781239325","0.3019765622340716","0.7007085465158391","0.7972794191836383","0.732868389630039","0.6728294848395381","1","[1,1]","0.6938880328710837","0.7887934148173833","0.8627149877149877","0.29779990338811685","0.7491682070240295","0.6462053571428571","0.2967766672372818","0.6745834356592041","0.7792659970596361","0.8520673728371899","0.7177742590851662","0.6382751389708147","0.31763612765532273","","0.8207934001902126","0.741769807190368","0.8822603554838957","0.25622830233153177","0.78604568165596","0.7022158456878687","0.2967766672372818","0.7124267321053581","0.8014245999843437","0.8699963419732442","0.7628445648773508","0.669237434134327","5956512","0.9137323943661972","0.6291891891891892","1372","980","10380","2328","","[[10380,980],[1372,2328]]","0.6643835616438357","0.7714607917776932","0.7037484885126964","0.6291891891891892","0.9767900485436892","0.11047345767575324","5580","459","19317","693","","","","","","","0.9751263902932256","0.11288265306122448","1391","123","4822","177","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5hl_3s_0d_0.001lr_512bs_adam","0.8623816062575342","0.8433598937583001","66298","sktpxddf","finished","-","siposova-andrea","","2023-03-18T00:15:28.000Z","67","j7qa6e6s","512","not_applied","0","one_hot","150","3","0.001","5","adam","","","","","","","","","0.7165152600350578","0.8030019161938988","0.8726236230943705","0.2745291214947607","0.7717827998018899","0.6686959844913576","0.3007541062740179","0.6948752069306623","0.7903915384177894","0.7467536516468679","0.6513878556422622","1","[1,1]","0.6966484268125855","0.7906445041608876","0.8637899262899262","0.2965739164866653","0.7511061946902655","0.6495535714285714","0.28795468692596143","0.6770700249725649","0.7822865682967911","0.8511077072910153","0.7085943892578259","0.6492815791494638","0.3217819699874291","","0.8179860975687142","0.7378280313897562","0.8807247878997274","0.25355776647726697","0.7837934743635712","0.6969552048461661","0.28795468692596143","0.7088903049409448","0.7966381571007835","0.8707802048494984","0.7756229611300326","0.6535196749886297","2121536","0.9191021126760563","0.6108108108108108","1440","919","10441","2260","","[[10441,919],[1440,2260]]","0.6570722488733827","0.7649564617434336","0.710915382195659","0.6108108108108108","0.9748685275080906","0.11653116531165313","5542","497","19279","731","","","","","","","0.9777553083923156","0.10650510204081633","1401","110","4835","167","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
